,weight,stand_alone_vol,marginal_ctr,component_ctr,pct_of_risk,beta_to_portfolio,risk_to_weight
SPY,0.3,0.12846985931867233,0.1160770858568873,0.034823125757066184,0.32842136716062537,1.094737890535418,1.094737890535418
QQQ,0.1,0.19625878546720674,0.1688692302581224,0.01688692302581224,0.15926273781290642,1.592627378129064,1.592627378129064
EFA,0.1,0.1571511421917762,0.14022235116122977,0.014022235116122979,0.13224549856930543,1.322454985693054,1.322454985693054
EEM,0.05,0.2495861219055979,0.21357682520034388,0.010678841260017195,0.10071352212242125,2.014270442448425,2.014270442448425
IEF,0.15,0.04617189867159149,0.023554567141609636,0.0035331850712414454,0.03332192174888747,0.2221461449925831,0.22214614499258314
TLT,0.1,0.09144873378731738,0.03915461812023683,0.003915461812023683,0.03692722274102873,0.36927222741028715,0.36927222741028726
LQD,0.05,0.05265467199699462,0.03308307967952124,0.001654153983976062,0.015600538466923155,0.31201076933846306,0.3120107693384631
GLD,0.1,0.29240244265725596,0.18106060681283245,0.018106060681283245,0.17076058146887235,1.7076058146887234,1.7076058146887234
VNQ,0.05,0.1364830269203089,0.0482373034530157,0.002411865172650785,0.02274660990902969,0.4549321981805936,0.45493219818059377
