scenario,start,end,days,portfolio,benchmark,worst_day,worst_asset,worst_asset_return
Euro crisis / US downgrade (2011),2011-07-22,2011-10-03,51,-0.06351804291340057,-0.09730413271649674,-0.02954601818151148,EEM,-0.27936247565294836
Taper tantrum (2013),2013-05-02,2013-06-24,37,-0.05983168881753209,-0.019502243443853762,-0.026037517248961306,EEM,-0.14409154292160797
China deval / vol spike (2015),2015-08-10,2015-08-25,12,-0.055731536373839985,-0.058436953586287865,-0.02417168083226162,EEM,-0.12617075754107987
Q4 2018 sell-off,2018-09-20,2018-12-24,66,-0.08688379798981649,-0.10695202916309343,-0.018317431509807136,QQQ,-0.21089447617380452
Covid crash (2020),2020-02-19,2020-03-23,24,-0.18161094397539057,-0.21409836725066034,-0.0595815506009062,VNQ,-0.42328658001485786
Rate shock (2022),2022-01-03,2022-10-12,196,-0.23909376367522517,-0.20345193734073475,-0.03270700323913245,QQQ,-0.33652438596962897
SVB / regional banks (2023),2023-03-08,2023-03-17,8,0.01260594556478889,0.0012107169068535928,-0.00815499396821151,VNQ,-0.047534567075411926
Aug 2024 yen-carry unwind,2024-07-16,2024-08-05,15,-0.03388793808171664,-0.03760798586338743,-0.016866159420228066,QQQ,-0.12250333501915256
