year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
2010,-0.03596113473902918,0.021592461314492883,0.037753492828843216,0.0202092631031503,-0.037879957512981455,-0.01250080086428429,0.046008395281338155,-0.004116901112600657,0.06060418230987685,0.02455422121419204,-0.00910758082935792,0.03225057344398108,0.14700458943567973
2011,0.0021436790582776144,0.027338415596925625,0.0006640925264733699,0.036725009055717406,-0.0015475969566522974,-0.01632535615776387,0.012355229820763869,-0.008664167877765028,-0.0448186834521378,0.06942031138296323,-0.0060205327503641826,-0.0018538297546112359,0.06692476146921256
2012,0.04971649008939072,0.019929997757952345,0.007512223526754402,0.004321820794689124,-0.03643663602542224,0.028606027596510986,0.014112888320467754,0.019515809257885763,0.015050314307256674,-0.01366493872426544,0.008231750481363598,0.005367178593908228,0.1266067072344106
2013,0.017200013552294946,0.0007375154198865363,0.017583620465544403,0.01779218599494281,-0.01698749764053553,-0.03251365685793528,0.033449776930239095,-0.01487657840955603,0.026503620543417705,0.029612613894299367,0.0006353447726177297,0.0040361983748340435,0.08392495019028079
2014,-0.00461974725222658,0.03706288973302163,-0.0017841884238093408,0.00985652914133106,0.019112223781060367,0.017751824402632455,-0.00818827551638801,0.028892627725770836,-0.026385557917497415,0.01780591166566836,0.01794765006070742,-0.003276125440923816,0.10737244331846574
2015,0.019570778980400716,0.014325204315255302,-0.008060216213356508,0.0038862292625010397,0.001095440337497644,-0.024471864268684307,0.013715261513834287,-0.03737580363551429,-0.011187851598829734,0.050773208576506246,-0.008960718440971904,-0.012074303236555228,-0.0016326264805041069
2016,-0.015552773449768686,0.011032816867194484,0.046099735230392236,0.004161986219075375,0.0029277199426605005,0.024171357666552318,0.03199546355975946,-0.00519335151066902,0.0032897567736243083,-0.022490172694785593,-0.017834536481327268,0.010066489871923823,0.0726929384839552
2017,0.023665639636356373,0.02649295696677334,0.005154675694056365,0.014658217150392838,0.016404345187943647,-0.00041756777058676864,0.019010768994442095,0.014081798468567053,0.00015219609731254025,0.013485383306451215,0.013587399244416876,0.012203180128946167,0.17008158907382187
2018,0.028848611146759406,-0.0314589705386934,-0.005421948762781792,-0.00316000424468188,0.014149102109000333,-0.0018022047213455128,0.015029988390721671,0.013229678267287603,-0.004557320880326787,-0.04559363436728803,0.014525987035001409,-0.03021383365696073,-0.03854765840702956
2019,0.056692377701436536,0.011958897085035058,0.022368317250898384,0.018565861768738312,-0.02199032880208196,0.0506608344569246,0.004895573278430598,0.017967215878098353,0.0034971240490346833,0.019010206586062228,0.010948126322780638,0.019177890479894266,0.23322379390464731
2020,0.016245989716800135,-0.03199501487319467,-0.06785237995161209,0.07836008974120845,0.031223641962178972,0.023835098900756746,0.05095668161312461,0.03055660893984058,-0.02402189597529958,-0.021104344370154515,0.06610985603759523,0.03146792086015382,0.18795131602272375
2021,-0.011382933111694249,-0.004113993238497482,0.009356772741317076,0.037347126435191,0.01410811269569101,0.013617353231218265,0.019891136566637657,0.015275139197247434,-0.03698343843844221,0.03974044627047513,-0.004385248036808509,0.025506172290792994,0.12173611624049441
2022,-0.04298346422960364,-0.01769488140968034,0.006195157694732556,-0.07296330743607271,-0.00460471572732879,-0.05466302781095611,0.05598756178410369,-0.04265079661729543,-0.08091246631398386,0.0247352745163143,0.07064257303835797,-0.03464797968311817,-0.18800158499835196
2023,0.0696331179274674,-0.03490223081133237,0.04453741350326923,0.010699857775556376,-0.005319491226057349,0.03174586510622812,0.019215269027759607,-0.021426683489504494,-0.04734691822700421,-0.017125852861277657,0.07945215586607257,0.04920388478023319,0.1829434112746109
2024,-0.0024270667151883307,0.021113157087438772,0.028124079655299505,-0.03357658983476797,0.037954568398498534,0.021280326947389128,0.02360058679107091,0.021630499729929697,0.02435530945664377,-0.01985684546565758,0.025006246269178245,-0.027263956312213233,0.12315796902451459
2025,0.025415378556469914,0.011768418806815006,-0.016321458116305365,0.006851904787000818,0.030370978678304184,0.03455640186207787,0.004928999327596495,0.022706077980286787,0.038971775565801,0.019766412186883686,0.007677690092638745,0.00024554586540093126,0.20217161278022555
2026,0.02794207691573769,0.02305343272122129,-0.055061905042953274,0.06072438119750534,0.03144745249881664,-0.011685655430762387,-0.013504320162350814,0.02604138593640526,-0.00921787542950847,,,,0.07758938567793128
